epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,1940.57,0.86451,1.47622,0.92368,0.8867,0.90153,0.8957,0.96164,0.85143,0.90336,0.89298,0.95933,0.72256,0.50925,0.89938,0.61117,0.80382,0.000227098,0.000227098,0.000227098
94,1961,0.87945,1.49265,0.90428,0.88632,0.92193,0.92949,0.96732,0.8471,0.92193,0.92949,0.96724,0.75016,0.54807,0.90825,0.59787,0.80765,0.000225034,0.000225034,0.000225034
95,1981.92,0.949,1.61131,0.93798,0.90203,0.91558,0.92343,0.96645,0.85328,0.91558,0.92343,0.96645,0.74422,0.53356,0.89859,0.59852,0.80626,0.00022297,0.00022297,0.00022297
96,2003.05,0.9083,1.48742,0.93448,0.89731,0.91229,0.92549,0.95875,0.84951,0.91026,0.924,0.9544,0.71533,0.51635,0.9301,0.59568,0.80238,0.000220906,0.000220906,0.000220906
97,2024.09,0.8979,1.47603,0.91336,0.89612,0.92017,0.94277,0.96907,0.84933,0.92005,0.93771,0.96739,0.73952,0.53619,0.91756,0.56294,0.80588,0.000218842,0.000218842,0.000218842
98,2044.74,0.87477,1.4851,0.89551,0.88931,0.91209,0.94172,0.96793,0.85683,0.91014,0.93982,0.96619,0.74387,0.51793,0.91115,0.5739,0.80402,0.000216777,0.000216777,0.000216777
99,2065.66,0.864,1.45086,0.9018,0.88657,0.91866,0.93783,0.96712,0.84624,0.91866,0.93783,0.96712,0.74674,0.54418,0.95788,0.58043,0.80558,0.000214713,0.000214713,0.000214713
100,2086.66,0.87509,1.46794,0.88557,0.89117,0.90444,0.96326,0.97341,0.86608,0.91106,0.95491,0.97068,0.74883,0.50098,0.90294,0.55065,0.80177,0.000212649,0.000212649,0.000212649
101,2107.67,0.89043,1.49223,0.88599,0.89166,0.90306,0.94146,0.9644,0.85231,0.90128,0.93342,0.95998,0.72699,0.5242,0.91318,0.56925,0.80252,0.000210585,0.000210585,0.000210585
102,2128.73,0.88999,1.4928,0.90113,0.89659,0.91596,0.93202,0.96856,0.8503,0.91304,0.92696,0.96347,0.72818,0.53468,0.93106,0.56313,0.80575,0.000208521,0.000208521,0.000208521
103,2149.57,0.88634,1.48523,0.89056,0.89159,0.90216,0.92898,0.96383,0.85278,0.90031,0.92709,0.96034,0.73591,0.51891,0.89009,0.58724,0.80383,0.000206457,0.000206457,0.000206457
104,2170.27,0.85854,1.43475,0.88895,0.88127,0.92251,0.93303,0.96792,0.86048,0.92453,0.93106,0.96497,0.73819,0.50042,0.8879,0.56641,0.8018,0.000204393,0.000204393,0.000204393
105,2190.95,0.87111,1.47791,0.8767,0.88361,0.93356,0.9498,0.97291,0.86713,0.93356,0.9498,0.97279,0.73401,0.50876,0.89257,0.55109,0.8032,0.000202328,0.000202328,0.000202328
106,2211.81,0.88701,1.46894,0.88605,0.89492,0.94385,0.91565,0.97534,0.86503,0.94188,0.91376,0.97343,0.72567,0.51967,0.91069,0.55853,0.80316,0.000200264,0.000200264,0.000200264
107,2232.16,0.90296,1.54577,0.89668,0.89177,0.91302,0.93221,0.96211,0.85486,0.91302,0.93221,0.96178,0.73247,0.50436,0.89034,0.57215,0.80187,0.0001982,0.0001982,0.0001982
108,2252.99,0.87586,1.44835,0.8754,0.88368,0.93319,0.95057,0.96911,0.86371,0.93229,0.94736,0.96582,0.73497,0.48874,0.89845,0.54805,0.80151,0.000196136,0.000196136,0.000196136
109,2273.89,0.85939,1.41374,0.87776,0.88434,0.93819,0.9515,0.97512,0.8649,0.93628,0.9496,0.97282,0.73451,0.49579,0.89177,0.53213,0.80099,0.000194072,0.000194072,0.000194072
